,x,y,z
378,3,78,197.20390625000002
379,3,79,198.795625
380,3,80,200.05078125
381,3,81,201.40015624999998
382,3,82,202.74140625
383,3,83,204.02781249999998
384,3,84,205.27375
385,3,85,206.54874999999998
386,3,86,207.153125
387,3,87,208.08921875
388,3,88,208.88859374999998
389,3,89,209.57203124999998
390,3,90,210.1690625
391,3,91,210.62234375
392,3,92,211.05671875000002
393,3,93,211.12718750000002
394,3,94,210.9375
395,3,95,210.76406249999997
396,3,96,210.46156249999999
397,3,97,209.90437500000002
398,3,98,208.85734374999998
399,3,99,207.59859375000002
400,4,0,142.78109375
401,4,1,140.815
402,4,2,138.8453125
403,4,3,136.0503125
404,4,4,132.1846875
405,4,5,128.96109375
406,4,6,129.0928125
407,4,7,130.34703125
408,4,8,130.31875
409,4,9,129.2346875
410,4,10,127.57468749999998
411,4,11,125.41874999999999
412,4,12,122.793125
413,4,13,124.6246875
414,4,14,128.449375
415,4,15,131.7628125
416,4,16,135.32703124999998
417,4,17,138.6390625
418,4,18,141.73749999999998
419,4,19,144.56640625
420,4,20,147.60562500000003
421,4,21,149.7215625
422,4,22,150.96890625
423,4,23,152.48921875000002
424,4,24,154.3253125
425,4,25,155.25296874999998
426,4,26,156.17562499999997
427,4,27,157.2615625
428,4,28,158.51796875
429,4,29,159.73046875
430,4,30,161.02703125
431,4,31,162.3165625
432,4,32,163.56484375
433,4,33,164.70890625
434,4,34,165.70171875
435,4,35,166.53640625
436,4,36,167.3228125
437,4,37,167.22625
438,4,38,166.81859375
439,4,39,166.19843750000004
440,4,40,165.41062499999998
441,4,41,164.49125
442,4,42,163.55203125000003
443,4,43,162.76640625000002
444,4,44,162.02875
445,4,45,161.28984375
446,4,46,160.64687500000002
447,4,47,160.07921875
448,4,48,159.46218749999997
449,4,49,158.7759375
450,4,50,157.903125
451,4,51,156.71984375
452,4,52,154.87421875
453,4,53,152.98921875000002
454,4,54,151.22078125
455,4,55,149.36
456,4,56,147.46234375
457,4,57,145.59484375
458,4,58,143.54
459,4,59,141.37640625
460,4,60,138.72984375
461,4,61,142.71875
462,4,62,147.20890624999998
463,4,63,151.87140625
464,4,64,157.08578124999997
465,4,65,162.00843749999999
466,4,66,166.73078125
467,4,67,170.7321875
468,4,68,173.86890624999998
469,4,69,176.74015625000004
470,4,70,179.18375000000003
471,4,71,181.80703124999997
472,4,72,184.9146875
473,4,73,187.84562499999998
474,4,74,190.1253125
475,4,75,192.23328125000003
476,4,76,193.295
477,4,77,195.40078125
478,4,78,197.16296874999998
479,4,79,198.59296875
480,4,80,200.3378125
481,4,81,201.7403125
482,4,82,202.99984375
483,4,83,204.3421875
484,4,84,205.46046875000002
485,4,85,206.2996875
486,4,86,206.86046875
487,4,87,207.79078125
488,4,88,208.57718749999998
489,4,89,209.26421875
490,4,90,209.93484374999997
491,4,91,210.40781249999998
492,4,92,210.82843750000004
493,4,93,210.95515625
494,4,94,210.9490625
495,4,95,210.70265625000002
496,4,96,210.43171875
497,4,97,209.97859375000002
498,4,98,209.01640625000002
499,4,99,207.85921875
500,5,0,140.88890625
501,5,1,138.92453125
502,5,2,137.08437500000002
503,5,3,134.8340625
504,5,4,131.40109375
505,5,5,127.71421875000001
506,5,6,126.53093750000001
507,5,7,127.70953125
508,5,8,127.76453125
509,5,9,126.20375000000001
510,5,10,123.71968749999999
511,5,11,121.90328125
512,5,12,124.08140624999999
513,5,13,128.05296875
514,5,14,131.94968749999998
515,5,15,135.70046875000003
516,5,16,139.59515625
517,5,17,143.04703125
518,5,18,146.1528125
519,5,19,148.88890625
520,5,20,151.22015625
521,5,21,152.29796875
522,5,22,153.25984375
523,5,23,154.43609375
524,5,24,155.34343750000002
525,5,25,156.17874999999998
526,5,26,157.105625
527,5,27,158.13687499999997
528,5,28,159.2178125
529,5,29,160.41671875000003
530,5,30,161.62781249999998
531,5,31,162.84328125000002
532,5,32,163.9696875
533,5,33,164.95875
534,5,34,165.7690625
535,5,35,166.56265625
536,5,36,166.77625
537,5,37,166.37109375
538,5,38,165.9240625
539,5,39,165.2553125
540,5,40,164.40390625
541,5,41,163.3821875
542,5,42,162.35640625
543,5,43,161.398125
544,5,44,160.45093749999998
545,5,45,159.58499999999998
546,5,46,158.96781250000004
547,5,47,158.4825
548,5,48,157.90890625
549,5,49,157.25328125
550,5,50,156.40328124999996
551,5,51,155.22265625
552,5,52,153.63078125
553,5,53,151.794375
554,5,54,150.0153125
555,5,55,148.314375
556,5,56,146.69437500000004
557,5,57,144.62124999999997
558,5,58,142.51
559,5,59,140.51203124999998
560,5,60,138.035
561,5,61,141.824375
562,5,62,146.28359375
563,5,63,151.0634375
564,5,64,156.36578125
565,5,65,161.29640625
566,5,66,165.88375
567,5,67,170.24937500000001
568,5,68,173.76109375000001
569,5,69,177.05859375
570,5,70,179.489375
571,5,71,182.16640625
572,5,72,185.12671875
573,5,73,188.0778125
574,5,74,190.26484375
575,5,75,192.23156249999997
576,5,76,192.98906250000005
577,5,77,195.3409375
578,5,78,196.85359375
579,5,79,197.90812499999998
580,5,80,199.69546875
581,5,81,201.44734375000002
582,5,82,203.09546875
583,5,83,204.63796875000003
584,5,84,205.45406250000002
585,5,85,205.92796875
586,5,86,206.49546875
587,5,87,207.55765625000004
588,5,88,208.20625
589,5,89,208.88046875
590,5,90,209.5528125
591,5,91,210.10640625
592,5,92,210.435
593,5,93,210.68578125000002
594,5,94,210.61859374999997
595,5,95,210.4071875
596,5,96,210.18546875
597,5,97,209.66328124999998
598,5,98,208.86296875
599,5,99,207.88015624999997
600,6,0,139.04875000000004
601,6,1,137.01
602,6,2,135.11046875
603,6,3,133.42343749999998
604,6,4,130.78140625
605,6,5,127.22093749999999
606,6,6,124.27187500000001
607,6,7,124.309375
608,6,8,124.61640624999998
609,6,9,122.75125
610,6,10,120.52187500000001
611,6,11,123.35640624999999
612,6,12,127.43875
613,6,13,131.460625
614,6,14,135.45328124999997
615,6,15,139.56234375
616,6,16,143.43734375000003
617,6,17,146.9890625
618,6,18,149.94171875
619,6,19,151.48890625
620,6,20,152.45859375
621,6,21,153.43453125000002
622,6,22,154.468125
623,6,23,155.46859375
624,6,24,156.35562499999997
625,6,25,157.15171875
626,6,26,158.0034375
627,6,27,158.92781250000002
628,6,28,159.995
629,6,29,161.12749999999997
630,6,30,162.2940625
631,6,31,163.4203125
632,6,32,164.39859375000003
633,6,33,165.19062499999998
634,6,34,165.84265625
635,6,35,166.45515625000002
636,6,36,166.1003125
637,6,37,165.61796875000002
638,6,38,164.99359375
639,6,39,164.24734374999997
640,6,40,163.35140625000003
641,6,41,162.19375
642,6,42,160.99828125
643,6,43,160.0315625
644,6,44,159.0596875
645,6,45,158.0453125
646,6,46,157.289375
647,6,47,156.80609375
648,6,48,156.323125
649,6,49,155.6875
650,6,50,154.9128125
651,6,51,153.93359375
652,6,52,152.29140624999997
653,6,53,150.48937500000002
654,6,54,148.8296875
655,6,55,147.22421875
656,6,56,145.635
657,6,57,142.74124999999998
658,6,58,140.1221875
659,6,59,138.384375
660,6,60,137.31156249999998
661,6,61,140.91593749999998
662,6,62,145.29062499999998
663,6,63,150.145
664,6,64,155.37312500000002
665,6,65,160.15109375
666,6,66,164.45859375
667,6,67,168.61109375
668,6,68,172.32937500000003
669,6,69,175.995625
670,6,70,179.25203125000002
671,6,71,182.19625000000002
672,6,72,185.12421875
673,6,73,187.88437500000003
674,6,74,190.11578125
675,6,75,192.05296875
676,6,76,192.794375
677,6,77,194.8346875
678,6,78,196.235625
679,6,79,197.38671875000003
680,6,80,198.81546875
681,6,81,200.4715625
682,6,82,202.30546875000005
683,6,83,204.07328125000004
684,6,84,204.85500000000002
685,6,85,205.3025
686,6,86,206.09859374999996
687,6,87,207.09859375
688,6,88,207.7625
689,6,89,208.47796874999997
690,6,90,209.1225
691,6,91,209.70578124999997
692,6,92,210.02406249999996
693,6,93,210.261875
694,6,94,210.17375
695,6,95,209.9659375
696,6,96,209.72109375
697,6,97,209.4065625
698,6,98,208.68859375
699,6,99,207.731875
700,7,0,137.2303125
701,7,1,135.18937499999998
702,7,2,133.281875
703,7,3,131.830625
704,7,4,130.1296875
705,7,5,127.78390625000002
706,7,6,124.9503125
707,7,7,122.06890625
708,7,8,121.93828125000002
709,7,9,120.16296874999999
710,7,10,120.40046874999999
711,7,11,125.06609375
712,7,12,129.65375
713,7,13,134.23546875000002
714,7,14,138.655
715,7,15,142.71703125
716,7,16,146.66406249999997
717,7,17,149.60015625
718,7,18,151.13390625
719,7,19,152.47468750000002
720,7,20,153.6128125
721,7,21,154.6565625
722,7,22,155.65453125000002
723,7,23,156.5596875
724,7,24,157.32796874999997
725,7,25,158.06125000000003
726,7,26,158.84124999999997
727,7,27,159.73015625
728,7,28,160.7734375
729,7,29,161.86203125
730,7,30,162.94890625
731,7,31,163.90749999999997
732,7,32,164.63671875
733,7,33,165.26875
734,7,34,165.89765625
735,7,35,165.9115625
736,7,36,165.37312500000002
737,7,37,164.78156250000004
738,7,38,164.0509375
739,7,39,163.0259375
740,7,40,162.08609374999997
741,7,41,160.95953125
742,7,42,159.8165625
743,7,43,158.858125
744,7,44,157.84625
745,7,45,156.71421875
746,7,46,155.7146875
747,7,47,155.09437499999999
748,7,48,154.6340625
749,7,49,154.05703125000002
750,7,50,153.325625
751,7,51,152.4103125
752,7,52,150.83015625000002
753,7,53,149.0703125
754,7,54,147.36859375
755,7,55,145.909375
756,7,56,144.40812499999998
757,7,57,142.03921875
758,7,58,138.33640625000004
759,7,59,136.37796875000004
760,7,60,137.25859375
761,7,61,140.46937499999999
762,7,62,144.59515625
763,7,63,149.2353125
764,7,64,154.04578125
765,7,65,158.51640625
766,7,66,161.8203125
767,7,67,165.770625
768,7,68,169.65671875
769,7,69,173.68375
770,7,70,177.57328124999998
771,7,71,181.19156249999997
772,7,72,184.39453125
773,7,73,187.224375
774,7,74,189.63062499999995
775,7,75,191.57968749999998
776,7,76,192.65906249999998
777,7,77,194.19906249999997
778,7,78,195.66500000000002
779,7,79,196.915
780,7,80,198.24281249999999
781,7,81,199.62453124999996
782,7,82,201.19140625000003
783,7,83,202.96203125
784,7,84,204.05281250000002
785,7,85,204.55531249999999
786,7,86,205.50609375000002
787,7,87,206.54640624999996
788,7,88,207.31234375
789,7,89,208.04640625000002
790,7,90,208.66250000000005
791,7,91,209.23578125
792,7,92,209.47234375000002
793,7,93,209.63187499999998
794,7,94,209.62859375
795,7,95,209.4709375
796,7,96,209.27546875
797,7,97,209.12703125000002
798,7,98,208.65968750000002
799,7,99,207.69421875
800,8,0,135.46359375
801,8,1,133.49421875
802,8,2,131.75843749999999
803,8,3,130.47421874999998
804,8,4,129.469375
805,8,5,127.02453125
806,8,6,124.50703125000001
807,8,7,120.91953125
808,8,8,119.52125
809,8,9,118.44328124999998
810,8,10,121.5609375
811,8,11,126.60000000000001
812,8,12,131.57703125
813,8,13,136.59671874999998
814,8,14,141.2475
815,8,15,145.40734375
816,8,16,148.67625
817,8,17,150.35812499999997
818,8,18,151.93687500000001
819,8,19,153.22765625
820,8,20,154.34906250000003
821,8,21,155.4328125
822,8,22,156.47
823,8,23,157.38
824,8,24,158.13031250000003
825,8,25,158.84296874999998
826,8,26,159.58421875
827,8,27,160.53625
828,8,28,161.49296875000002
829,8,29,162.50265625
830,8,30,163.38625000000002
831,8,31,164.095
832,8,32,164.70015625
833,8,33,165.26624999999999
834,8,34,165.53046874999998
835,8,35,165.02859375
836,8,36,164.4759375
837,8,37,163.81734375
838,8,38,163.04171875
839,8,39,162.05390624999998
840,8,40,160.80640625
841,8,41,159.73765625
842,8,42,158.56953125
843,8,43,157.66828125
844,8,44,156.71999999999997
845,8,45,155.5259375
846,8,46,154.29515625
847,8,47,153.39546875
848,8,48,152.85265625
849,8,49,152.35468749999998
850,8,50,151.640625
851,8,51,150.85
852,8,52,149.50093750000002
853,8,53,147.69140625
854,8,54,146.04015625
855,8,55,144.51921875
856,8,56,143.06031249999998
857,8,57,141.1553125
858,8,58,137.93124999999998
859,8,59,135.26671875
860,8,60,137.99390625
861,8,61,140.70546875
862,8,62,144.31859375
863,8,63,148.3309375
864,8,64,152.18734375
865,8,65,155.85265625000002
866,8,66,159.1540625
867,8,67,162.74374999999998
868,8,68,166.70640625000001
869,8,69,170.9396875
870,8,70,175.11828125
871,8,71,178.88187499999998
872,8,72,182.32234375
873,8,73,185.69265625
874,8,74,188.50765625
875,8,75,190.70296875
876,8,76,192.02187499999997
877,8,77,193.47125
878,8,78,194.93312500000002
879,8,79,196.23125
880,8,80,197.6303125
881,8,81,199.05203125
882,8,82,200.39703125
883,8,83,201.9371875
884,8,84,203.14234375
885,8,85,203.88718750000004
886,8,86,205.0259375
887,8,87,206.1496875
888,8,88,206.88109375
889,8,89,207.4846875
890,8,90,208.09953124999998
891,8,91,208.57953125
892,8,92,208.92078124999995
893,8,93,209.0515625
894,8,94,209.02015625
895,8,95,208.95968750000003
896,8,96,208.77953125
897,8,97,208.73281249999997
898,8,98,208.6234375
899,8,99,207.79015625000002
900,9,0,133.828125
901,9,1,132.04296875
902,9,2,130.47765625000002
903,9,3,129.14375
904,9,4,127.19109375
905,9,5,125.11296875
906,9,6,123.08015624999999
907,9,7,119.83234374999999
908,9,8,117.17531250000002
909,9,9,119.43578125
910,9,10,123.40484375
911,9,11,128.4059375
912,9,12,133.45906250000002
913,9,13,138.45078125
914,9,14,143.250625
915,9,15,147.25343750000002
916,9,16,149.22921875
917,9,17,151.05046875
918,9,18,152.50484375
919,9,19,153.69421875000003
920,9,20,154.78015625
921,9,21,155.85078124999998
922,9,22,156.91765625000002
923,9,23,157.8921875
924,9,24,158.715625
925,9,25,159.38406250000003
926,9,26,160.24390625
927,9,27,161.10109375
928,9,28,161.98937500000002
929,9,29,162.8303125
930,9,30,163.49296875
931,9,31,164.13109375000002
932,9,32,164.695625
933,9,33,165.02562500000002
934,9,34,164.62374999999997
935,9,35,164.12453125000002
936,9,36,163.51187499999997
937,9,37,162.77640625000004
938,9,38,161.93359375
939,9,39,160.93109375
940,9,40,159.6384375
941,9,41,158.27671875000001
942,9,42,157.0653125
943,9,43,156.228125
944,9,44,155.59359375
945,9,45,154.43453125
946,9,46,153.00421875
947,9,47,151.7865625
948,9,48,151.0415625
949,9,49,150.56625
950,9,50,149.94453124999998
951,9,51,149.0628125
952,9,52,148.10109375
953,9,53,146.39671875000002
954,9,54,144.8903125
955,9,55,143.36234375000004
956,9,56,141.79734375
957,9,57,139.71734375
958,9,58,137.05546875000002
959,9,59,134.7009375
960,9,60,137.24359375
961,9,61,140.02734375
962,9,62,144.06703125
963,9,63,148.12125
964,9,64,151.49749999999997
965,9,65,154.21234375
966,9,66,157.2440625
967,9,67,160.3725
968,9,68,164.20312500000003
969,9,69,168.41359375000002
970,9,70,172.42374999999998
971,9,71,176.08328125000003
972,9,72,179.6171875
973,9,73,183.04015625
974,9,74,186.30984375
975,9,75,189.29
976,9,76,190.98203125
977,9,77,192.686875
978,9,78,193.98624999999998
979,9,79,195.2528125
980,9,80,197.00140625
981,9,81,198.41156249999997
982,9,82,199.7378125
983,9,83,201.26765625
984,9,84,202.40390624999998
985,9,85,203.37296874999998
986,9,86,204.58703124999997
987,9,87,205.5875
988,9,88,206.4628125
989,9,89,207.11703125
990,9,90,207.52468750000003
991,9,91,207.95859375
992,9,92,208.23203124999998
993,9,93,208.40265625
994,9,94,208.50796875
995,9,95,208.43625
996,9,96,208.37187500000002
997,9,97,208.319375
998,9,98,208.26062499999998
999,9,99,207.67249999999999
1000,10,0,132.31359375000002
1001,10,1,130.70781250000002
1002,10,2,129.2053125
1003,10,3,127.10390625
1004,10,4,124.4778125
1005,10,5,122.98578125
1006,10,6,121.388125
1007,10,7,118.696875
1008,10,8,116.82218750000001
1009,10,9,120.9075
1010,10,10,125.13546875
1011,10,11,130.0728125
1012,10,12,135.44328124999998
1013,10,13,140.33749999999998
1014,10,14,145.37640625
1015,10,15,147.81109374999997
1016,10,16,149.84140625000003
1017,10,17,151.50437499999998
1018,10,18,152.8071875
1019,10,19,153.9559375
1020,10,20,155.03859375000002
1021,10,21,156.05703125000002
1022,10,22,157.09796875
1023,10,23,158.09359375000003
1024,10,24,158.94
